@relation german
@attribute CHK_ACCT {'<0','0<=X<200','>=200','unknown'}
@attribute DURATION real
@attribute HISTORY {'no credits taken','all credits at this bank paid back duly','existing credits paid back duly till now','delay in paying off in the past','critical account'}
@attribute PURPOSE {'EMPTY','NEW_CAR','USED_CAR','FURNITURE','RADIO/TV','EDUCATION','RETRAINING'}
@attribute AMOUNT real
@attribute SAV_ACCT {'<100','100<=X<500','500<=X<1000','>=1000','unknown'}
@attribute EMPLOYMENT {'unemployed','<1','1<=X<4','4<=X<7','>=7'}
@attribute INSTALL_RATE real
@attribute MARITIAL {'EMPTY','MALE_DIV','MALE_SINGLE','MALE_MAR'}
@attribute CO-APPLICANT { y , n }
@attribute GUARANTOR { y , n }
@attribute TIME_RES {'Dummy','<=1','1<X<=2','2<X<=3','>=4'}
@attribute REAL_ESTATE { y , n }
@attribute PROP_NONE { y , n }
@attribute AGE real
@attribute OTHER_INSTALL { y , n }
@attribute HOUSE {'EMPTY','RENT','OWN_RES'}
@attribute NUM_CREDITS real
@attribute JOB {'unemployed/ unskilled  - non-resident','unskilled - resident','skilled employee / official','management/ self-employed/highly qualified employee/ officer'}
@attribute NUM_DEPEND real
@attribute TELEPHONE { y , n }
@attribute FOREIGN { y , n }
@attribute class { good , bad }
@data
'unknown',18,'existing credits paid back duly till now','FURNITURE',1984,'<100','1<=X<4',4,MALE_SINGLE,n,n,'>=4',n,y,47,y,EMPTY,2,'skilled employee / official',1,n,n,good
'unknown',60,'existing credits paid back duly till now','RADIO/TV',10144,'100<=X<500','4<=X<7',2,EMPTY,n,n,'>=4',y,n,21,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',12,'critical account','RADIO/TV',1240,'unknown','>=7',4,EMPTY,n,n,'1<X<=2',y,n,38,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'unknown',27,'delay in paying off in the past','USED_CAR',8613,'>=1000','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,27,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'0<=X<200',12,'existing credits paid back duly till now','RADIO/TV',766,'500<=X<1000','1<=X<4',4,MALE_SINGLE,n,n,'2<X<=3',y,n,66,n,OWN_RES,1,'unskilled - resident',1,n,n,bad
'0<=X<200',15,'critical account','RADIO/TV',2728,'unknown','4<=X<7',4,MALE_SINGLE,n,y,'1<X<=2',y,n,35,y,OWN_RES,3,'skilled employee / official',1,y,n,good
'>=200',12,'existing credits paid back duly till now','RADIO/TV',1881,'<100','1<=X<4',2,EMPTY,n,n,'1<X<=2',n,n,44,n,RENT,1,'unskilled - resident',1,y,n,good
'>=200',6,'existing credits paid back duly till now','NEW_CAR',709,'>=1000','<1',2,MALE_MAR,n,n,'1<X<=2',y,n,27,n,OWN_RES,1,'unemployed/ unskilled  - non-resident',1,n,y,good
'0<=X<200',36,'existing credits paid back duly till now','RADIO/TV',4795,'<100','<1',4,EMPTY,n,n,'<=1',n,y,30,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'<0',27,'existing credits paid back duly till now','RADIO/TV',3416,'<100','1<=X<4',3,MALE_SINGLE,n,n,'1<X<=2',n,n,27,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,n,n,good
'<0',18,'existing credits paid back duly till now','FURNITURE',2462,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,22,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'unknown',21,'critical account','FURNITURE',2288,'<100','<1',4,EMPTY,n,n,'>=4',n,n,23,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',48,'all credits at this bank paid back duly','RETRAINING',3566,'100<=X<500','4<=X<7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',6,'critical account','NEW_CAR',860,'<100','>=7',1,EMPTY,n,n,'>=4',n,y,39,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'unknown',12,'critical account','NEW_CAR',682,'100<=X<500','4<=X<7',4,EMPTY,n,n,'2<X<=3',n,n,51,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'<0',36,'critical account','FURNITURE',5371,'<100','1<=X<4',3,MALE_SINGLE,n,y,'1<X<=2',n,n,28,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',18,'critical account','RADIO/TV',1582,'>=1000','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,46,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',6,'existing credits paid back duly till now','RADIO/TV',1346,'100<=X<500','>=7',2,MALE_SINGLE,n,n,'>=4',n,y,42,y,EMPTY,1,'skilled employee / official',2,y,n,good
'unknown',10,'existing credits paid back duly till now','RADIO/TV',1924,'<100','1<=X<4',1,MALE_SINGLE,n,n,'>=4',n,n,38,n,OWN_RES,1,'skilled employee / official',1,y,y,good
'>=200',36,'existing credits paid back duly till now','RADIO/TV',5848,'<100','1<=X<4',4,MALE_SINGLE,n,n,'<=1',n,n,24,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',24,'critical account','USED_CAR',7758,'>=1000','>=7',2,EMPTY,n,n,'>=4',n,y,29,n,RENT,1,'skilled employee / official',1,n,n,good
'0<=X<200',24,'delay in paying off in the past','RETRAINING',6967,'100<=X<500','4<=X<7',4,MALE_SINGLE,n,n,'>=4',n,n,36,n,RENT,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'<0',12,'existing credits paid back duly till now','FURNITURE',1282,'<100','1<=X<4',2,EMPTY,n,n,'>=4',n,n,20,n,RENT,1,'skilled employee / official',1,n,n,bad
'<0',9,'critical account',EMPTY,1288,'100<=X<500','>=7',3,MALE_SINGLE,n,y,'>=4',y,n,48,n,OWN_RES,2,'skilled employee / official',2,n,y,good
'<0',12,'all credits at this bank paid back duly',EMPTY,339,'<100','>=7',4,MALE_MAR,n,n,'<=1',n,n,45,y,OWN_RES,1,'unskilled - resident',1,n,n,good
'0<=X<200',24,'existing credits paid back duly till now','NEW_CAR',3512,'100<=X<500','4<=X<7',2,MALE_SINGLE,n,n,'2<X<=3',n,n,38,y,OWN_RES,2,'skilled employee / official',1,y,n,good
'unknown',6,'critical account','RADIO/TV',1898,'unknown','1<=X<4',1,MALE_SINGLE,n,n,'1<X<=2',y,n,34,n,OWN_RES,2,'unskilled - resident',2,n,n,good
'unknown',24,'critical account','RADIO/TV',2872,'100<=X<500','>=7',3,MALE_SINGLE,n,n,'>=4',y,n,36,n,OWN_RES,1,'skilled employee / official',2,y,n,good
'unknown',18,'critical account','NEW_CAR',1055,'<100','<1',4,EMPTY,n,n,'<=1',n,n,30,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',15,'existing credits paid back duly till now',EMPTY,1262,'500<=X<1000','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,36,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'0<=X<200',10,'existing credits paid back duly till now','NEW_CAR',7308,'<100','unemployed',2,MALE_SINGLE,n,n,'>=4',n,y,70,y,EMPTY,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'unknown',36,'existing credits paid back duly till now','NEW_CAR',909,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,36,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',6,'existing credits paid back duly till now','FURNITURE',2978,'500<=X<1000','1<=X<4',1,MALE_SINGLE,n,n,'1<X<=2',n,n,32,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',18,'existing credits paid back duly till now','FURNITURE',1131,'<100','unemployed',4,EMPTY,n,n,'1<X<=2',n,n,33,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'0<=X<200',11,'existing credits paid back duly till now','FURNITURE',1577,'>=1000','<1',4,EMPTY,n,n,'<=1',y,n,20,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',24,'existing credits paid back duly till now','FURNITURE',3972,'<100','4<=X<7',2,EMPTY,n,n,'>=4',n,n,25,n,RENT,1,'skilled employee / official',1,y,n,good
'0<=X<200',24,'critical account','RETRAINING',1935,'<100','>=7',4,MALE_DIV,n,n,'>=4',y,n,31,n,OWN_RES,2,'skilled employee / official',1,y,n,bad
'<0',15,'no credits taken','NEW_CAR',950,'<100','>=7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,33,n,RENT,2,'skilled employee / official',2,n,n,bad
'unknown',12,'existing credits paid back duly till now','FURNITURE',763,'<100','1<=X<4',4,EMPTY,n,n,'<=1',y,n,26,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',24,'delay in paying off in the past','FURNITURE',2064,'<100','unemployed',3,EMPTY,n,n,'1<X<=2',n,n,34,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'0<=X<200',8,'existing credits paid back duly till now','RADIO/TV',1414,'<100','1<=X<4',4,MALE_SINGLE,n,y,'1<X<=2',y,n,33,n,OWN_RES,1,'skilled employee / official',1,n,y,good
'<0',21,'delay in paying off in the past','EDUCATION',3414,'<100','<1',2,MALE_SINGLE,n,n,'<=1',n,n,26,n,OWN_RES,2,'skilled employee / official',1,n,n,bad
'unknown',30,'all credits at this bank paid back duly','USED_CAR',7485,'unknown','unemployed',4,EMPTY,n,n,'<=1',y,n,53,y,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'<0',12,'existing credits paid back duly till now','FURNITURE',2577,'<100','1<=X<4',2,MALE_DIV,n,n,'<=1',n,n,42,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',6,'critical account','RADIO/TV',338,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,52,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',1963,'<100','4<=X<7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,31,n,RENT,2,'management/ self-employed/highly qualified employee/ officer',2,y,n,good
'<0',21,'critical account','NEW_CAR',571,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,65,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',36,'delay in paying off in the past','RETRAINING',9572,'<100','<1',1,MALE_DIV,n,n,'<=1',n,n,28,n,OWN_RES,2,'skilled employee / official',1,n,n,bad
'0<=X<200',36,'delay in paying off in the past','RETRAINING',4455,'<100','1<=X<4',2,MALE_DIV,n,n,'1<X<=2',y,n,30,y,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'<0',21,'all credits at this bank paid back duly','NEW_CAR',1647,'unknown','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,40,n,OWN_RES,2,'unskilled - resident',2,n,n,bad
'unknown',24,'critical account','FURNITURE',3777,'>=1000','1<=X<4',4,MALE_SINGLE,n,n,'>=4',y,n,50,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',18,'critical account','NEW_CAR',884,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,36,y,OWN_RES,1,'skilled employee / official',2,y,n,bad
'unknown',15,'critical account','RADIO/TV',1360,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,31,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'0<=X<200',9,'all credits at this bank paid back duly','USED_CAR',5129,'<100','>=7',2,EMPTY,n,n,'>=4',n,y,74,y,EMPTY,1,'management/ self-employed/highly qualified employee/ officer',2,y,n,bad
'0<=X<200',16,'critical account','NEW_CAR',1175,'<100','unemployed',2,MALE_SINGLE,n,n,'2<X<=3',n,n,68,n,EMPTY,3,'unemployed/ unskilled  - non-resident',1,y,n,good
'<0',12,'existing credits paid back duly till now','RADIO/TV',674,'100<=X<500','4<=X<7',4,MALE_MAR,n,n,'<=1',n,n,20,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'0<=X<200',18,'no credits taken','FURNITURE',3244,'<100','1<=X<4',1,EMPTY,n,n,'>=4',n,n,33,y,OWN_RES,2,'skilled employee / official',1,y,n,good
'unknown',24,'existing credits paid back duly till now','RETRAINING',4591,'>=1000','1<=X<4',2,MALE_SINGLE,n,n,'2<X<=3',n,n,54,n,OWN_RES,3,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'0<=X<200',48,'no credits taken','RETRAINING',3844,'100<=X<500','4<=X<7',4,MALE_SINGLE,n,n,'>=4',n,y,34,n,EMPTY,1,'unskilled - resident',2,n,n,bad
'0<=X<200',27,'existing credits paid back duly till now','RETRAINING',3915,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,36,n,OWN_RES,1,'skilled employee / official',2,y,n,bad
'unknown',6,'existing credits paid back duly till now','RADIO/TV',2108,'<100','4<=X<7',2,MALE_MAR,n,n,'1<X<=2',y,n,29,n,RENT,1,'skilled employee / official',1,n,n,good
'0<=X<200',45,'existing credits paid back duly till now','RADIO/TV',3031,'100<=X<500','1<=X<4',4,MALE_SINGLE,n,y,'>=4',n,n,21,n,RENT,1,'skilled employee / official',1,n,n,bad
'0<=X<200',9,'critical account','EDUCATION',1501,'<100','>=7',2,EMPTY,n,n,'2<X<=3',n,n,34,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',6,'critical account','RADIO/TV',1382,'<100','1<=X<4',1,EMPTY,n,n,'<=1',n,n,28,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'0<=X<200',12,'existing credits paid back duly till now','FURNITURE',951,'100<=X<500','<1',4,EMPTY,n,n,'>=4',n,n,27,y,RENT,4,'skilled employee / official',1,n,n,bad
'0<=X<200',24,'existing credits paid back duly till now','USED_CAR',2760,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,36,y,EMPTY,1,'skilled employee / official',1,y,n,good
'0<=X<200',18,'delay in paying off in the past','FURNITURE',4297,'<100','>=7',4,MALE_DIV,n,n,'2<X<=3',n,y,40,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',9,'critical account','EDUCATION',936,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,52,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'<0',12,'existing credits paid back duly till now','NEW_CAR',1168,'<100','1<=X<4',4,MALE_MAR,n,n,'2<X<=3',y,n,27,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'unknown',27,'delay in paying off in the past','RETRAINING',5117,'<100','4<=X<7',3,MALE_SINGLE,n,n,'>=4',n,n,26,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'<0',12,'existing credits paid back duly till now',EMPTY,902,'<100','4<=X<7',4,MALE_MAR,n,n,'>=4',n,n,21,n,RENT,1,'skilled employee / official',1,n,n,bad
'unknown',12,'critical account','NEW_CAR',1495,'<100','>=7',4,MALE_SINGLE,n,n,'<=1',y,n,38,n,OWN_RES,2,'unskilled - resident',2,n,n,good
'<0',30,'critical account','USED_CAR',10623,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',n,y,38,n,EMPTY,3,'management/ self-employed/highly qualified employee/ officer',2,y,n,good
'unknown',12,'critical account','FURNITURE',1935,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,43,n,OWN_RES,3,'skilled employee / official',1,y,n,good
'0<=X<200',12,'critical account',EMPTY,1424,'<100','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,26,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',24,'existing credits paid back duly till now','RETRAINING',6568,'<100','1<=X<4',2,MALE_MAR,n,n,'1<X<=2',n,n,21,y,OWN_RES,1,'unskilled - resident',1,n,n,good
'unknown',12,'existing credits paid back duly till now','USED_CAR',1413,'>=1000','4<=X<7',3,MALE_SINGLE,n,n,'1<X<=2',n,n,55,n,OWN_RES,1,'skilled employee / official',1,n,y,good
'unknown',9,'critical account','RADIO/TV',3074,'unknown','1<=X<4',1,MALE_SINGLE,n,n,'1<X<=2',y,n,33,n,OWN_RES,2,'skilled employee / official',2,n,n,good
'unknown',36,'existing credits paid back duly till now','RADIO/TV',3835,'unknown','>=7',2,EMPTY,n,n,'>=4',y,n,45,n,OWN_RES,1,'unskilled - resident',1,y,n,good
'<0',27,'no credits taken','RETRAINING',5293,'<100','unemployed',2,MALE_SINGLE,n,n,'>=4',n,n,50,y,OWN_RES,2,'skilled employee / official',1,y,n,bad
'>=200',30,'delay in paying off in the past','RETRAINING',1908,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,66,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',36,'critical account','RADIO/TV',3342,'unknown','>=7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,51,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',6,'critical account',EMPTY,932,'unknown','4<=X<7',1,EMPTY,n,n,'2<X<=3',n,n,39,n,OWN_RES,2,'unskilled - resident',1,n,n,good
'<0',18,'no credits taken','RETRAINING',3104,'<100','4<=X<7',3,MALE_SINGLE,n,n,'<=1',n,n,31,y,OWN_RES,1,'skilled employee / official',1,y,n,good
'>=200',36,'existing credits paid back duly till now','RADIO/TV',3913,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',y,n,23,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',24,'existing credits paid back duly till now','FURNITURE',3021,'<100','1<=X<4',2,MALE_DIV,n,n,'1<X<=2',y,n,24,n,RENT,1,'unskilled - resident',1,n,n,good
'unknown',10,'existing credits paid back duly till now','NEW_CAR',1364,'<100','1<=X<4',2,EMPTY,n,n,'>=4',n,n,64,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',12,'existing credits paid back duly till now','RADIO/TV',625,'<100','<1',4,MALE_MAR,n,y,'<=1',y,n,26,y,OWN_RES,1,'unskilled - resident',1,n,n,good
'<0',12,'existing credits paid back duly till now','EDUCATION',1200,'unknown','1<=X<4',4,EMPTY,n,n,'>=4',n,n,23,y,RENT,1,'skilled employee / official',1,y,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',707,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',y,n,30,y,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',24,'delay in paying off in the past','RETRAINING',2978,'unknown','1<=X<4',4,MALE_SINGLE,n,n,'>=4',y,n,32,n,OWN_RES,2,'skilled employee / official',2,y,n,good
'unknown',15,'existing credits paid back duly till now','USED_CAR',4657,'<100','1<=X<4',3,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',36,'no credits taken',EMPTY,2613,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,27,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'0<=X<200',48,'existing credits paid back duly till now','RADIO/TV',10961,'>=1000','4<=X<7',1,MALE_SINGLE,y,n,'1<X<=2',n,y,27,y,OWN_RES,2,'skilled employee / official',1,y,n,bad
'<0',12,'existing credits paid back duly till now','FURNITURE',7865,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,53,n,EMPTY,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',9,'existing credits paid back duly till now','RADIO/TV',1478,'<100','4<=X<7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,22,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'<0',24,'existing credits paid back duly till now','FURNITURE',3149,'<100','<1',4,MALE_SINGLE,n,n,'<=1',n,y,22,y,EMPTY,1,'skilled employee / official',1,n,n,good
'>=200',36,'existing credits paid back duly till now','RADIO/TV',4210,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,26,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'unknown',9,'existing credits paid back duly till now','NEW_CAR',2507,'500<=X<1000','>=7',2,MALE_SINGLE,n,n,'>=4',n,y,51,n,EMPTY,1,'unskilled - resident',1,n,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',2141,'100<=X<500','4<=X<7',3,MALE_SINGLE,n,n,'<=1',n,y,35,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',18,'existing credits paid back duly till now','RADIO/TV',866,'<100','1<=X<4',4,MALE_MAR,n,y,'1<X<=2',y,n,25,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'unknown',4,'critical account','RADIO/TV',1544,'<100','4<=X<7',2,MALE_SINGLE,n,n,'<=1',y,n,42,n,OWN_RES,3,'unskilled - resident',2,n,n,good
'<0',24,'existing credits paid back duly till now','RADIO/TV',1823,'<100','unemployed',4,MALE_SINGLE,n,n,'1<X<=2',n,n,30,y,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',2,n,n,bad
'0<=X<200',6,'existing credits paid back duly till now','NEW_CAR',14555,'unknown','unemployed',1,MALE_SINGLE,n,n,'1<X<=2',n,n,23,n,OWN_RES,1,'unemployed/ unskilled  - non-resident',1,y,n,bad
'0<=X<200',21,'existing credits paid back duly till now','RETRAINING',2767,'100<=X<500','>=7',4,MALE_DIV,n,n,'1<X<=2',n,n,61,y,RENT,2,'unskilled - resident',1,n,n,bad
'unknown',12,'critical account','RADIO/TV',1291,'<100','1<=X<4',4,EMPTY,n,n,'1<X<=2',n,n,35,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'<0',30,'existing credits paid back duly till now','RADIO/TV',2522,'<100','>=7',1,MALE_SINGLE,n,y,'2<X<=3',n,n,39,n,OWN_RES,1,'skilled employee / official',2,n,n,good
'<0',24,'existing credits paid back duly till now','NEW_CAR',915,'unknown','>=7',4,EMPTY,n,n,'1<X<=2',n,n,29,y,OWN_RES,1,'skilled employee / official',1,n,n,bad
'unknown',6,'existing credits paid back duly till now','RADIO/TV',1595,'<100','4<=X<7',3,MALE_SINGLE,n,n,'1<X<=2',n,n,51,n,OWN_RES,1,'skilled employee / official',2,n,n,good
'<0',48,'no credits taken','USED_CAR',4605,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',n,y,24,n,EMPTY,2,'skilled employee / official',2,n,n,bad
'unknown',12,'critical account','RETRAINING',1185,'<100','1<=X<4',3,EMPTY,n,n,'1<X<=2',y,n,27,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',12,'all credits at this bank paid back duly',EMPTY,3447,'500<=X<1000','1<=X<4',4,EMPTY,n,n,'2<X<=3',y,n,35,n,OWN_RES,1,'unskilled - resident',2,n,n,good
'unknown',24,'existing credits paid back duly till now','RETRAINING',1258,'<100','4<=X<7',4,MALE_SINGLE,n,n,'<=1',y,n,25,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',12,'critical account','RADIO/TV',717,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,52,n,OWN_RES,3,'skilled employee / official',1,n,n,good
'unknown',6,'no credits taken','NEW_CAR',1204,'100<=X<500','1<=X<4',4,MALE_SINGLE,n,n,'<=1',n,y,35,y,RENT,1,'skilled employee / official',1,n,y,good
'>=200',24,'existing credits paid back duly till now','FURNITURE',1925,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',y,n,26,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',18,'existing credits paid back duly till now','RADIO/TV',433,'<100','unemployed',3,EMPTY,y,n,'>=4',y,n,22,n,RENT,1,'skilled employee / official',1,n,n,bad
'<0',6,'critical account','NEW_CAR',666,'>=1000','4<=X<7',3,EMPTY,n,n,'>=4',y,n,39,n,OWN_RES,2,'unskilled - resident',1,y,n,good
'>=200',12,'existing credits paid back duly till now','FURNITURE',2251,'<100','1<=X<4',1,EMPTY,n,n,'1<X<=2',n,n,46,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'0<=X<200',30,'existing credits paid back duly till now','NEW_CAR',2150,'<100','1<=X<4',4,EMPTY,n,y,'1<X<=2',n,y,24,y,OWN_RES,1,'skilled employee / official',1,n,n,bad
'unknown',24,'delay in paying off in the past','FURNITURE',4151,'100<=X<500','1<=X<4',2,MALE_SINGLE,n,n,'2<X<=3',n,n,35,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'0<=X<200',9,'existing credits paid back duly till now','FURNITURE',2030,'unknown','4<=X<7',2,MALE_SINGLE,n,n,'<=1',n,n,24,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',60,'delay in paying off in the past','RADIO/TV',7418,'unknown','1<=X<4',1,MALE_SINGLE,n,n,'<=1',y,n,27,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'unknown',24,'critical account','RADIO/TV',2684,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',y,n,35,n,OWN_RES,2,'unskilled - resident',1,n,n,good
'<0',12,'all credits at this bank paid back duly','RADIO/TV',2149,'<100','1<=X<4',4,MALE_DIV,n,n,'<=1',n,y,29,n,EMPTY,1,'skilled employee / official',1,n,n,bad
'unknown',15,'existing credits paid back duly till now','USED_CAR',3812,'100<=X<500','<1',1,EMPTY,n,n,'>=4',n,n,23,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',11,'critical account','RADIO/TV',1154,'100<=X<500','unemployed',4,EMPTY,n,n,'>=4',y,n,57,n,OWN_RES,3,'unskilled - resident',1,n,n,good
'<0',12,'existing credits paid back duly till now','FURNITURE',1657,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',y,n,27,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',24,'existing credits paid back duly till now','RADIO/TV',1603,'<100','>=7',4,EMPTY,n,n,'>=4',n,n,55,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',18,'critical account','NEW_CAR',5302,'<100','>=7',2,MALE_SINGLE,n,n,'>=4',n,y,36,n,EMPTY,3,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'unknown',12,'critical account','EDUCATION',2748,'<100','>=7',2,EMPTY,n,n,'>=4',n,y,57,y,EMPTY,3,'unskilled - resident',1,n,n,good
'unknown',10,'critical account','NEW_CAR',1231,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',y,n,32,n,OWN_RES,2,'unskilled - resident',2,n,y,good
'0<=X<200',15,'existing credits paid back duly till now','RADIO/TV',802,'<100','>=7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,37,n,OWN_RES,1,'skilled employee / official',2,n,n,bad
'unknown',36,'critical account','RETRAINING',6304,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,36,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',24,'existing credits paid back duly till now','RADIO/TV',1533,'<100','<1',4,EMPTY,n,n,'2<X<=3',n,n,38,y,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',14,'existing credits paid back duly till now','NEW_CAR',8978,'<100','>=7',1,MALE_DIV,n,n,'>=4',n,n,45,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,y,bad
'unknown',24,'existing credits paid back duly till now','RADIO/TV',999,'unknown','>=7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,25,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'unknown',18,'existing credits paid back duly till now','NEW_CAR',2662,'unknown','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,32,n,OWN_RES,1,'skilled employee / official',1,n,y,good
'unknown',12,'critical account','FURNITURE',1402,'500<=X<1000','4<=X<7',3,EMPTY,n,n,'>=4',n,n,37,n,RENT,1,'skilled employee / official',1,y,n,good
